sample	type	H_PeripheralBlood_Normal_Myeloid-DerivedSuppressorCell_29108995
TARGET_20_PAWZZN_09A_01R_RBS	CEBPA	0.3964846887463998
TARGET_20_PAXAXY_09A_01R_RBS	CEBPA	0.18891053299782165
TARGET_20_PAXBAZ_09A_01R_RBS	TEC.MLLT10	0.11913041075723758
TARGET_20_PAXCFI_03A_01R_RBS	UBTF	0.16672199110616612
TARGET_20_PAXCKK_09A_01R_RBS	KAT6A.CREBBP	-0.050458460942835966
TARGET_20_PAXCYN_09A_01R_RBS	KMT2A.Fusion	0.5139034683302253
TARGET_20_PAXDDY_09A_01R_RBS	CBFB.MYH11	-0.23326804333038004
TARGET_20_PAXDEG_09A_01R_RBS	unknown	-0.13639920074828948
TARGET_20_PAXDHL_09A_01R_RBS	NPM1	0.5680548549309868
TARGET_20_PAXDSN_09A_01R_RBS	KMT2A.Fusion	0.5666492759893216
TARGET_20_PAXDXW_09A_01R_RBS	NIPBL.HOXB9	0.1960507780835703
TARGET_20_PAXELP_09A_01R_RBS	RUNX1.RUNX1T1	0.1008188474782373
TARGET_20_PAXEPC_09A_01R_RBS	NPM1	0.019039811956690612
TARGET_20_PAXETC_09A_01R_RBS	KMT2A.Fusion	0.39498838314030255
TARGET_20_PAXGDG_09A_01R_RBS	CBFB.MYH11	0.3238724918262978
TARGET_20_PAXGGM_03A_01R_RBS	KMT2A.Fusion	0.2734997829381877
TARGET_20_PAXGHE_09A_01R_RBS	KMT2A.Fusion	0.45999135734736135
TARGET_20_PAXGIX_09A_01R_RBS	KMT2A.Fusion	0.23113527509742088
TARGET_20_PAXHPH_09A_01R_RBS	RBM15.MRTFA	0.3406958159005836
TARGET_20_PAXICE_09A_01R_RBS	KMT2A.Fusion	0.622868171498646
TARGET_20_PAXIFA_09A_01R_RBS	KMT2A.Fusion	0.3559746842989167
TARGET_20_PAXIJB_09A_01R_RBS	RUNX1.RUNX1T1	0.2231072025751094
TARGET_20_PAXISI_09A_01R_RBS	CEBPA	0.3603321573004526
TARGET_20_PAXJAA_09A_01R_RBS	PICALM.Fusion	0.1453413381703333
TARGET_20_PAXJFS_03A_01R_RBS	NUP98.Fusion	0.22328606743973317
TARGET_20_PAXJGA_09A_01R_RBS	CBFB.MYH11	0.22983286297223593
