sample	type	H_PeripheralBlood_Normal_SuppressiveMonocyte_25799053
TARGET_20_PAWHKK_03A_01R_RBS	KMT2A.Fusion	0.4706807593478462
TARGET_20_PAWHML_09A_01R_RBS	CEBPA	0.3605697460637379
TARGET_20_PAWHRR_09A_01R_RBS	RUNX1.RUNX1T1	0.23358718702306322
TARGET_20_PAWHTL_03A_01R_RBS	CBFB.MYH11	-0.12376965828485727
TARGET_20_PAWIWJ_09A_01R_RBS	unknown	-0.002113681693169977
TARGET_20_PAWKGX_09A_01R_RBS	KMT2A.Fusion	0.37203324289417833
TARGET_20_PAWKJC_09A_01R_RBS	UBTF	0.18061183550918622
TARGET_20_PAWLEB_09A_01R_RBS	KMT2A.Fusion	0.19149867723153707
TARGET_20_PAWLKE_09A_01R_RBS	KMT2A.Fusion	0.2247948535422301
TARGET_20_PAWLUE_09A_01R_RBS	CBFB.MYH11	0.383128474699065
TARGET_20_PAWLYM_09A_01R_RBS	NPM1	0.1420622011027826
TARGET_20_PAWMFY_03A_01R_RBS	KMT2A.Fusion	0.02337227243681958
TARGET_20_PAWMKP_09A_01R_RBS	RUNX1.RUNX1T1	0.3813103765024936
TARGET_20_PAWNHW_09A_01R_RBS	CBFB.MYH11	0.2928335153626137
TARGET_20_PAWNPG_09A_01R_RBS	RUNX1.RUNX1T1	0.40796971596756476
TARGET_20_PAWNPU_09A_01R_RBS	KMT2A.Fusion	-0.02182357384904641
TARGET_20_PAWNYX_09A_01R_RBS	KMT2A.Fusion	0.07645594405959275
TARGET_20_PAWPKR_03A_01R_RBS	KMT2A.Fusion	0.472798213303631
TARGET_20_PAWPMA_09A_01R_RBS	unknown	0.043000589895801904
TARGET_20_PAWPVX_09A_01R_RBS	ETS.Fusion	0.16497303228037982
TARGET_20_PAWRPX_09A_01R_RBS	KMT2A.Fusion	0.5652902395298238
TARGET_20_PAWRVC_09A_01R_RBS	KMT2A.Fusion	0.3750233620561931
TARGET_20_PAWSHR_03A_01R_RBS	RUNX1.RUNX1T1	-0.028554379019447188
TARGET_20_PAWSJC_09A_01R_RBS	CBFB.MYH11	0.4045183994957216
TARGET_20_PAWSRG_09A_01R_RBS	CBFB.MYH11	0.27185877326155017
TARGET_20_PAWTNN_09A_01R_RBS	KMT2A.Fusion	0.4380655732770798
TARGET_20_PAWTSD_09A_01R_RBS	KMT2A.Fusion	0.2503765468246322
TARGET_20_PAWTSD_09A_01R_replicate	KMT2A.Fusion	0.2370839369600719
TARGET_20_PAWTWW_09A_01R_RBS	KMT2A.Fusion	0.35993191216852793
TARGET_20_PAWTYT_09A_01R_RBS	NUP98.Fusion	0.4787585164495289
TARGET_20_PAWUAE_09A_01R_RBS	KMT2A.Fusion	0.19557358151810883
TARGET_20_PAWUMM_09A_01R_RBS	KMT2A.Fusion	0.3490499750106766
TARGET_20_PAWUNI_09A_01R_RBS	UBTF	0.3113475478355985
TARGET_20_PAWUTL_09A_01R_RBS	ETS.Fusion	0.028205773351325816
TARGET_20_PAWUUY_09A_01R_RBS	RUNX1.RUNX1T1	0.42562096435924396
TARGET_20_PAWUWJ_09A_01R_RBS	CEBPA	0.027097333748776015
TARGET_20_PAWVCG_09A_01R_RBS	KMT2A.Fusion	0.2869430473407041
TARGET_20_PAWVGF_09A_01R_RBS	CBFB.MYH11	0.5138196357922533
TARGET_20_PAWVGN_09A_01R_RBS	KMT2A.Fusion	0.28841250272021346
TARGET_20_PAWWCW_03A_01R_RBS	KMT2A.Fusion	0.10265309396971214
TARGET_20_PAWWEE_09A_01R_RBS	RUNX1.RUNX1T1	0.2099729649899445
TARGET_20_PAWWRG_09A_01R_RBS	KMT2A.Fusion	0.20736989515683632
TARGET_20_PAWWXU_09A_01R_RBS	RUNX1.RUNX1T1	0.1047416911998642
TARGET_20_PAWWZL_09A_01R_RBS	RUNX1.RUNX1T1	0.4065560040324866
TARGET_20_PAWXIA_09A_01R_RBS	CBFA2T3.GLIS2	0.09890160055486197
TARGET_20_PAWYJH_09A_01R_RBS	KMT2A.Fusion	0.3061996543171014
TARGET_20_PAWYNR_09A_01R_RBS	KMT2A.Fusion	0.1917425730391677
TARGET_20_PAWYZR_09A_01R_RBS	CBFA2T3.GLIS2	0.03811986207886429
TARGET_20_PAWZAU_09A_01R_RBS	CBFB.MYH11	0.14686820911301385
TARGET_20_PAWZAW_09A_01R_RBS	RUNX1.RUNX1T1	0.13799490058092256
TARGET_20_PAWZAX_09A_01R_RBS	KMT2A.Fusion	0.08564254031142067
TARGET_20_PAWZZN_09A_01R_RBS	CEBPA	0.2769823786365863
TARGET_20_PAXAXY_09A_01R_RBS	CEBPA	0.07182386240690453
TARGET_20_PAXBAZ_09A_01R_RBS	TEC.MLLT10	0.04278843014222762
TARGET_20_PAXCFI_03A_01R_RBS	UBTF	0.15530857313281426
TARGET_20_PAXCKK_09A_01R_RBS	KAT6A.CREBBP	0.08650309241428898
TARGET_20_PAXCYN_09A_01R_RBS	KMT2A.Fusion	0.25059295119584435
TARGET_20_PAXDDY_09A_01R_RBS	CBFB.MYH11	-0.03585760552350946
TARGET_20_PAXDEG_09A_01R_RBS	unknown	-0.06550567137752993
TARGET_20_PAXDHL_09A_01R_RBS	NPM1	0.3355630586506824
TARGET_20_PAXDSN_09A_01R_RBS	KMT2A.Fusion	0.21976167028209465
TARGET_20_PAXDXW_09A_01R_RBS	NIPBL.HOXB9	0.1369272286149436
TARGET_20_PAXELP_09A_01R_RBS	RUNX1.RUNX1T1	0.1305477550061696
TARGET_20_PAXEPC_09A_01R_RBS	NPM1	0.018434030534197572
TARGET_20_PAXETC_09A_01R_RBS	KMT2A.Fusion	0.39385022054076396
TARGET_20_PAXGDG_09A_01R_RBS	CBFB.MYH11	0.2936742133935919
TARGET_20_PAXGGM_03A_01R_RBS	KMT2A.Fusion	0.2250471211911533
TARGET_20_PAXGHE_09A_01R_RBS	KMT2A.Fusion	0.20679617905780043
TARGET_20_PAXGIX_09A_01R_RBS	KMT2A.Fusion	0.10021852275018345
TARGET_20_PAXHPH_09A_01R_RBS	RBM15.MRTFA	0.3543375410520812
TARGET_20_PAXICE_09A_01R_RBS	KMT2A.Fusion	0.2979626745660544
TARGET_20_PAXIFA_09A_01R_RBS	KMT2A.Fusion	0.286577308296362
TARGET_20_PAXIJB_09A_01R_RBS	RUNX1.RUNX1T1	0.19176514547634527
TARGET_20_PAXISI_09A_01R_RBS	CEBPA	0.2124275068548802
TARGET_20_PAXJAA_09A_01R_RBS	PICALM.Fusion	0.06530179934902144
TARGET_20_PAXJFS_03A_01R_RBS	NUP98.Fusion	0.3495285570256535
TARGET_20_PAXJGA_09A_01R_RBS	CBFB.MYH11	0.26507753634938896
TARGET_20_PAXJMY_09A_01R_RBS	TCR.ZFP36L2	-0.12993153149546263
TARGET_20_PAXJXC_09A_01R_RBS	KMT2A.Fusion	0.47169273411814305
TARGET_20_PAXJZX_09A_01R_RBS	unknown	0.2843373709107514
TARGET_20_PAXKEZ_09A_01R_RBS	UBTF	0.14128533274353958
TARGET_20_PAXLBH_09A_01R_RBS	RUNX1.RUNX1T1	0.3314057567902377
